"Label";"External balance - Contribution to GDP growth - Volumes chained at previous year prices - SA-WDA series";"Codes"
"2005-T4";"-0.27";"A"
"2005-T3";"-0.03";"A"
"2005-T2";"0.12";"A"
"2005-T1";"-0.28";"A"
"2004-T4";"-0.12";"A"
"2004-T3";"-0.34";"A"
"2004-T2";"-0.06";"A"
"2004-T1";"-0.07";"A"
"2003-T4";"0.26";"A"
"2003-T3";"0.08";"A"
"2003-T2";"-0.06";"A"
"2003-T1";"-0.61";"A"
"2002-T4";"-0.01";"A"
"2002-T3";"-0.08";"A"
"2002-T2";"0.47";"A"
"2002-T1";"-0.21";"A"
"2001-T4";"-0.23";"A"
"2001-T3";"0.49";"A"
"2001-T2";"-0.5";"A"
"2001-T1";"0.47";"A"
"2000-T4";"0.29";"A"
"2000-T3";"-0.42";"A"
"2000-T2";"-0.19";"A"
"2000-T1";"0.04";"A"
"1999-T4";"-0.41";"A"
"1999-T3";"0.39";"A"
"1999-T2";"0.09";"A"
"1999-T1";"-0.24";"A"
"1998-T4";"-0.24";"A"
"1998-T3";"0.04";"A"
"1998-T2";"-0.09";"A"
"1998-T1";"-0.45";"A"
"1997-T4";"0.16";"A"
"1997-T3";"-0.2";"A"
"1997-T2";"0.52";"A"
"1997-T1";"0.44";"A"
"1996-T4";"0.44";"A"
"1996-T3";"0.48";"A"
"1996-T2";"-0.13";"A"
"1996-T1";"0.22";"A"
"1995-T4";"0.24";"A"
"1995-T3";"-0.35";"A"
"1995-T2";"-0.08";"A"
"1995-T1";"0.32";"A"
"1994-T4";"0.25";"A"
"1994-T3";"0.02";"A"
"1994-T2";"0.16";"A"
"1994-T1";"-0.5";"A"
"1993-T4";"0.25";"A"
"1993-T3";"0.17";"A"
"1993-T2";"0.12";"A"
"1993-T1";"0.3";"A"
"1992-T4";"0.08";"A"
"1992-T3";"0.2";"A"
"1992-T2";"0.33";"A"
"1992-T1";"-0.36";"A"
"1991-T4";"0.62";"A"
"1991-T3";"0.57";"A"
"1991-T2";"0.57";"A"
"1991-T1";"-0.5";"A"
"1990-T4";"0.45";"A"
"1990-T3";"0.21";"A"
"1990-T2";"-0.64";"A"
"1990-T1";"0.25";"A"
"1989-T4";"-0.21";"A"
"1989-T3";"-0.07";"A"
"1989-T2";"-0.01";"A"
"1989-T1";"0.47";"A"
"1988-T4";"-0.06";"A"
"1988-T3";"-0.22";"A"
"1988-T2";"0.19";"A"
"1988-T1";"-0.13";"A"
"1987-T4";"-0.13";"A"
"1987-T3";"0.22";"A"
"1987-T2";"0.01";"A"
"1987-T1";"-1.02";"A"
"1986-T4";"0.38";"A"
"1986-T3";"-0.34";"A"
"1986-T2";"-0.83";"A"
"1986-T1";"-0.61";"A"
"1985-T4";"-0.15";"A"
"1985-T3";"-0.88";"A"
"1985-T2";"0.39";"A"
"1985-T1";"-0.52";"A"
"1984-T4";"-0.41";"A"
"1984-T3";"0.6";"A"
"1984-T2";"0.32";"A"
"1984-T1";"-0.39";"A"
"1983-T4";"0.3";"A"
"1983-T3";"0.28";"A"
"1983-T2";"1.25";"A"
"1983-T1";"0.05";"A"
"1982-T4";"0.81";"A"
"1982-T3";"0.22";"A"
"1982-T2";"-1.04";"A"
"1982-T1";"-0.18";"A"
"1981-T4";"-0.85";"A"
"1981-T3";"0.04";"A"
"1981-T2";"0.77";"A"
"1981-T1";"0.64";"A"
"1980-T4";"0.66";"A"
"1980-T3";"-0.39";"A"
"1980-T2";"-0.07";"A"
"1980-T1";"-0.41";"A"
"1979-T4";"0.08";"A"
"1979-T3";"0.0";"A"
"1979-T2";"-0.04";"A"
"1979-T1";"-0.24";"A"
"1978-T4";"-0.23";"A"
"1978-T3";"0.18";"A"
"1978-T2";"0.0";"A"
"1978-T1";"-0.19";"A"
"1977-T4";"0.29";"A"
"1977-T3";"0.54";"A"
"1977-T2";"0.4";"A"
"1977-T1";"0.39";"A"
"1976-T4";"0.62";"A"
"1976-T3";"-0.59";"A"
"1976-T2";"-0.26";"A"
"1976-T1";"-0.7";"A"
"1975-T4";"-0.65";"A"
"1975-T3";"-0.29";"A"
"1975-T2";"-0.19";"A"
"1975-T1";"0.68";"A"
"1974-T4";"0.94";"A"
"1974-T3";"0.59";"A"
"1974-T2";"0.03";"A"
"1974-T1";"0.27";"A"
"1973-T4";"0.41";"A"
"1973-T3";"-0.26";"A"
"1973-T2";"0.19";"A"
"1973-T1";"-0.36";"A"
"1972-T4";"-0.07";"A"
"1972-T3";"-0.24";"A"
"1972-T2";"0.46";"A"
"1972-T1";"-0.64";"A"
"1971-T4";"0.08";"A"
"1971-T3";"-0.13";"A"
"1971-T2";"-0.19";"A"
"1971-T1";"0.58";"A"
"1970-T4";"0.22";"A"
"1970-T3";"-0.3";"A"
"1970-T2";"0.08";"A"
"1970-T1";"0.4";"A"
"1969-T4";"0.89";"A"
"1969-T3";"0.62";"A"
"1969-T2";"-0.46";"A"
"1969-T1";"-0.1";"A"
"1968-T4";"-1.17";"A"
"1968-T3";"0.81";"A"
"1968-T2";"-0.88";"A"
"1968-T1";"0.15";"A"
"1967-T4";"0.3";"A"
